Supply and disposition,Gross withdrawals,Marketable production 3,Imports 4,Residential consumption,Industrial consumption 5,Commercial consumption,Exports 6,Opening inventory,Closing inventory,Inventory change
April 2020,"5,552.00","5,552.00","2,048,348.00","795,183.00","801,681.00","669,667.00","224,234.00","4,658,886.40","4,490,496.40","-168,390.00"
may-20,"5,735.00","5,735.00","1,981,374.00","494,384.00","795,860.00","416,312.00","74,869.00","4,490,496.40","5,372,346.50","881,850.10"
June 2020,"5,249.40","5,295.00","1,991,336.00","236,315.00","838,182.00","192,779.00","214,583.00","5,372,346.50","6,447,395.70","1,075,049.10"
July 2020,"6,626.30","6,687.00","2,184,284.00","207,052.00","989,794.00","182,579.00","427,858.00","6,447,395.70","7,448,123.80","1,000,728.10"
August 2020,"6,449.60","6,526.00","1,631,881.00","178,952.00","876,701.00","184,427.00","336,453.00","7,448,123.80","8,026,134.10","578,010.40"
September 2020,"6,124.50","6,184.00","1,805,960.00","273,577.00","782,240.00","254,480.00","176,094.00","8,026,134.10","8,954,392.80","928,258.60"
October 2020,"6,177.80","6,222.00","1,941,441.00","540,847.00","900,879.00","525,603.00","338,186.00","8,954,392.80","9,110,922.10","156,529.30"
November 2020,"5,662.60","5,693.00","2,300,419.00","755,888.00","929,057.00","695,823.00","333,469.00","9,110,922.10","9,000,386.50","-110,535.50"
December 2020,"6,101.00","6,114.00","2,632,275.00","1,191,166.00","1,151,158.00","1,029,976.00","806,706.00","9,000,386.50","7,854,773.50","-1,145,613.00"
January 2021,"5,785.90","5,791.00","2,603,205.00","1,378,043.00","1,211,712.00","951,105.00","903,203.00","7,854,773.50","6,135,498.90","-1,719,274.60"
February 2021,"5,253.70","5,249.00","2,024,911.00","1,354,342.00","1,278,397.00","928,500.00","877,824.00","6,135,498.90","4,197,293.30","-1,938,205.60"
March 2021,"5,710.40","5,701.00","2,846,102.00","959,924.00","1,071,058.00","688,878.00","496,868.00","4,197,293.30","3,606,550.70","-590,742.60"
April 2021,"5,894.00","5,894.00","2,176,065.30","682,445.00","900,644.00","571,597.00","197,752.00","3,606,550.70","3,994,176.10","387,625.40"
may-21,"6,034.00","6,034.00","2,134,027.70","432,240.00","877,146.00","302,798.00","97,225.00","3,994,176.10","4,960,883.20","966,707.10"
June 2021,"6,107.70","6,152.00","2,094,534.70","249,683.00","977,227.00","173,437.00","247,233.00","4,960,883.20","6,016,481.90","1,055,598.70"
July 2021,"6,522.30","6,599.00","2,074,678.30","226,328.00","911,519.00","161,131.00","264,911.00","6,016,481.90","6,939,623.50","923,141.60"
August 2021,"5,149.00","5,210.00","2,198,837.70","214,192.00","1,298,818.00","194,927.00","380,690.00","6,939,623.50","7,543,549.00","603,925.60"
September 2021,"4,618.90","4,656.00","2,171,405.60","226,995.00","942,341.00","232,096.00","219,275.00","7,543,549.00","8,918,200.90","1,374,651.90"
October 2021,"5,867.90","5,942.00","1,699,089.80","365,008.00","1,045,571.00","371,361.00","198,690.00","8,918,200.90","9,269,181.30","350,980.40"
November 2021,"5,657.70","5,706.00","2,730,178.80","740,724.00","1,245,453.00","613,432.00","583,104.00","9,269,181.30","8,910,183.30","-358,998.10"
December 2021,"5,798.80","5,800.00","3,284,988.50","1,152,754.00","1,349,606.00","871,018.00","665,967.00","8,910,183.30","8,497,720.40","-412,462.90"
January 2022,"4,928.80","4,944.00","2,342,655.20","1,576,767.00","1,814,522.00","1,209,572.00","989,928.00","8,497,720.40","5,502,179.10","-2,995,541.30"
February 2022,"4,486.60","4,493.00","2,238,837.20","1,265,240.00","1,536,270.00","1,014,127.00","793,573.00","5,502,179.10","3,439,592.10","-2,062,587.00"
March 2022,"5,074.60","5,063.00","3,242,692.00","1,046,680.00","1,457,643.00","741,643.00","558,715.00","3,439,592.10","3,123,663.90","-315,928.20"
April 2022,"5,290.00","5,290.00","2,388,898.60","753,169.00","1,000,930.00","574,210.00","340,250.00","3,123,663.90","3,265,889.20","142,225.30"
may-22,"5,840.00","5,840.00","2,576,459.90","333,136.00","909,755.00","296,077.00","239,800.00","3,265,889.20","4,576,974.80","1,311,085.60"
June 2022,"6,145.20","5,935.00","2,095,094.90","233,289.00","863,548.00","167,521.00","242,085.00","4,576,974.80","5,728,957.40","1,151,982.60"
